latitude,longitude,distance_km,utm_source,interaction_count
6.682804,3.547572,10.89,meta_awareness_ad,1
6.720496,3.676243,22.2,meta_conversion_ad,2
6.574842,3.16156,9.24,meta_awareness_ad,1
6.601966,3.371654,10.56,meta_awareness_ad,1
6.538696,3.219538,9.32,meta_awareness_ad,1
6.639484,3.119954,23.74,meta_awareness_ad,1
6.597448,3.363252,11.06,whatsapp_lead_trigger,3
6.516227,3.474475,18.68,whatsapp_lead_trigger,2
6.847197,3.49236,30.81,meta_conversion_ad,1
6.442472,3.402289,14.4,whatsapp_lead_trigger,1
6.742569,3.129565,23.9,whatsapp_lead_trigger,1
6.321256,3.397707,28.37,meta_awareness_ad,2
6.646442,3.155318,23.22,whatsapp_lead_trigger,1
6.739885,3.165152,14.87,meta_conversion_ad,3
6.238317,3.229677,20.14,whatsapp_lead_trigger,1
6.545243,3.536672,4.7,whatsapp_lead_trigger,1
6.631712,3.460988,8.76,meta_awareness_ad,5
6.562195,3.427589,10.16,meta_awareness_ad,3
6.581123,3.249808,32.92,meta_awareness_ad,1
6.544833,3.321034,8.5,meta_awareness_ad,4
6.360263,3.173682,8.38,whatsapp_lead_trigger,2
6.879607,3.583845,6.65,whatsapp_lead_trigger,4
6.448869,3.708789,19.48,meta_awareness_ad,2
6.589524,3.46269,16.14,meta_conversion_ad,3
6.427374,3.488963,23.69,meta_awareness_ad,10
6.183021,3.355356,20.37,meta_awareness_ad,1
6.385723,3.136282,3.96,meta_awareness_ad,2
6.307259,3.252605,8.54,meta_awareness_ad,2
6.688135,3.309392,25.92,whatsapp_lead_trigger,1
6.43337,3.321412,13.37,meta_awareness_ad,1
6.447286,3.286891,24.5,meta_conversion_ad,1
6.36475,3.386363,13.8,meta_conversion_ad,3
6.538505,3.251675,7.26,meta_awareness_ad,2
6.416931,3.704359,12.57,whatsapp_lead_trigger,2
6.673253,3.174394,7.26,whatsapp_lead_trigger,1
6.569706,3.512296,10.48,meta_awareness_ad,2
6.438626,3.339922,16.61,meta_awareness_ad,6
6.651935,3.44862,19.09,meta_awareness_ad,1
6.525591,3.455417,2.28,meta_awareness_ad,2
6.527625,3.402756,14.86,meta_awareness_ad,3
6.305005,3.209194,10.31,meta_conversion_ad,3
6.513737,3.329394,9.81,meta_conversion_ad,2
6.572632,3.404564,16.06,meta_awareness_ad,4
6.724435,3.395165,10.6,meta_awareness_ad,1
6.411616,3.22573,26.06,whatsapp_lead_trigger,5
6.866116,3.572882,24.5,meta_awareness_ad,1
6.60793,3.005164,24.45,meta_awareness_ad,1
6.296488,3.341681,11.04,meta_awareness_ad,1
6.39762,3.241002,7.3,whatsapp_lead_trigger,4
6.73755,3.406525,15.66,meta_awareness_ad,2
6.710884,3.531709,13.8,meta_conversion_ad,1
6.527114,3.168155,10.13,meta_conversion_ad,1
6.546888,3.732241,5.59,meta_awareness_ad,5
6.349708,3.409477,14.67,meta_conversion_ad,4
6.722616,3.436459,11.77,meta_awareness_ad,2
6.376235,3.163237,20.51,meta_conversion_ad,2
6.651111,3.372215,20.32,meta_conversion_ad,2
6.727206,3.524951,23.81,meta_conversion_ad,1
6.531623,3.410688,4.93,meta_awareness_ad,5
6.669542,3.400229,18.21,whatsapp_lead_trigger,1
6.801546,3.371421,9.18,meta_awareness_ad,2
6.564595,3.1725,5.24,meta_awareness_ad,1
6.498105,3.171644,11.57,meta_awareness_ad,2
6.514372,3.554599,23.55,meta_conversion_ad,2
6.412952,3.511543,12.02,meta_conversion_ad,2
6.409562,3.533741,27.52,meta_awareness_ad,1
6.590761,3.255777,19.39,meta_conversion_ad,2
6.499808,3.355565,11.85,meta_awareness_ad,1
6.573535,3.56397,24.28,meta_conversion_ad,1
6.30091,3.194902,18.56,meta_awareness_ad,1
6.510507,3.548682,7.54,meta_conversion_ad,3
6.678918,3.291222,29.87,meta_awareness_ad,2
6.356561,3.250915,17.08,whatsapp_lead_trigger,2
6.526879,3.374413,15.15,meta_awareness_ad,3
6.246209,3.21165,8.16,meta_awareness_ad,3
6.328581,3.094666,24.44,meta_awareness_ad,2
6.645549,3.390604,19.14,whatsapp_lead_trigger,1
6.478007,3.45934,20.03,whatsapp_lead_trigger,1
6.797711,3.561494,10.94,meta_awareness_ad,3
6.589266,3.470246,21.67,meta_conversion_ad,2
6.603989,3.67401,22.29,whatsapp_lead_trigger,4
6.362928,3.583361,9.65,meta_conversion_ad,5
6.466634,3.489912,3.66,meta_conversion_ad,1
6.414505,3.449493,19.65,meta_awareness_ad,1
6.364584,3.563715,2.41,meta_awareness_ad,2
6.623984,3.047247,16.22,whatsapp_lead_trigger,1
6.654077,3.307191,11.42,whatsapp_lead_trigger,1
6.584241,3.100428,24.75,meta_conversion_ad,5
6.40019,3.478665,11.86,meta_awareness_ad,1
6.57401,3.267785,23.86,meta_awareness_ad,6
6.237498,3.832148,10.89,meta_conversion_ad,3
6.722851,3.301511,23.0,whatsapp_lead_trigger,3
6.329677,3.395154,31.48,whatsapp_lead_trigger,1
6.356331,3.31886,6.46,meta_conversion_ad,1
6.541694,3.305875,17.34,meta_conversion_ad,2
6.555024,3.192222,36.99,meta_awareness_ad,1
6.513488,3.187178,15.53,meta_awareness_ad,1
6.357881,3.052276,15.49,whatsapp_lead_trigger,1
6.694402,3.461019,21.31,meta_conversion_ad,1
6.271508,3.315503,15.33,meta_awareness_ad,1
6.30191,3.669244,1.34,meta_awareness_ad,4
6.508353,3.192579,24.06,meta_conversion_ad,1
6.334765,3.600647,0.1,meta_awareness_ad,1
6.707794,3.615039,11.67,meta_awareness_ad,2
6.347668,3.570756,24.66,meta_conversion_ad,8
6.757954,3.41442,12.15,meta_conversion_ad,1
6.679668,3.328469,9.45,meta_conversion_ad,1
6.709658,3.57061,22.03,meta_awareness_ad,2
6.807466,3.260481,8.19,meta_conversion_ad,5
6.536584,3.419806,5.22,meta_awareness_ad,4
6.372454,3.372638,17.2,meta_awareness_ad,2
6.508949,3.245487,13.54,meta_conversion_ad,1
6.4394,3.420907,5.05,meta_conversion_ad,2
6.418021,3.490476,20.1,whatsapp_lead_trigger,1
6.547028,3.239576,18.72,meta_conversion_ad,3
6.477644,3.448218,12.12,meta_conversion_ad,3
6.411569,3.044846,12.67,meta_awareness_ad,7
6.48759,3.221827,18.76,meta_awareness_ad,1
6.606747,3.310598,24.52,meta_awareness_ad,1
6.667863,3.432801,12.74,meta_awareness_ad,2
6.283961,3.509597,20.24,whatsapp_lead_trigger,3
6.47892,3.391623,19.52,meta_awareness_ad,4
6.503199,3.464189,22.03,whatsapp_lead_trigger,1
6.347022,3.355113,15.31,meta_conversion_ad,1
6.506444,3.439912,7.7,meta_conversion_ad,2
6.546599,3.431986,11.3,meta_conversion_ad,1
6.602225,3.302847,17.74,meta_conversion_ad,4
6.535974,3.325893,29.55,meta_awareness_ad,2
6.392258,3.469219,11.13,meta_awareness_ad,4
6.826205,3.651013,21.44,meta_conversion_ad,2
6.648769,3.560223,12.38,meta_awareness_ad,3
6.607308,3.209833,15.88,meta_awareness_ad,1
6.675125,3.210363,27.12,meta_conversion_ad,4
6.561091,3.298855,21.11,meta_awareness_ad,1
6.717345,3.394038,5.07,whatsapp_lead_trigger,2
6.532931,3.386438,10.42,whatsapp_lead_trigger,1
6.524662,3.565242,25.05,whatsapp_lead_trigger,2
6.619684,3.573467,16.14,meta_awareness_ad,1
6.760854,3.38005,5.81,meta_awareness_ad,1
6.751207,3.345046,8.45,whatsapp_lead_trigger,7
6.613327,3.456712,20.63,meta_awareness_ad,1
6.601892,3.53868,22.96,whatsapp_lead_trigger,4
6.628806,3.462066,15.14,whatsapp_lead_trigger,9
6.672243,3.314468,34.8,whatsapp_lead_trigger,1
6.71921,3.287362,21.59,meta_awareness_ad,3
6.488912,3.212609,13.05,meta_awareness_ad,1
6.722109,3.408223,8.47,whatsapp_lead_trigger,1
6.575849,3.472668,7.2,meta_awareness_ad,2
6.62204,3.489427,17.68,meta_awareness_ad,6
6.731692,3.551964,11.09,meta_conversion_ad,1
6.636459,3.601246,28.39,whatsapp_lead_trigger,2
6.661799,3.172955,26.73,meta_conversion_ad,2
6.465987,3.439914,20.06,meta_conversion_ad,5
6.749147,3.445089,5.57,meta_awareness_ad,1
6.628753,3.368108,9.62,meta_conversion_ad,3
6.54331,3.254948,25.05,whatsapp_lead_trigger,3
6.689561,3.595894,10.5,meta_awareness_ad,3
6.912575,3.29091,23.98,meta_conversion_ad,6
6.349061,3.050315,18.8,whatsapp_lead_trigger,4
6.40384,3.382211,15.41,meta_conversion_ad,1
6.927196,3.34352,9.38,meta_conversion_ad,2
6.588404,3.657855,14.25,meta_conversion_ad,1
6.55303,3.452654,16.52,meta_awareness_ad,1
6.507092,3.333411,23.26,meta_awareness_ad,2
6.705665,3.349672,7.91,whatsapp_lead_trigger,1
6.916087,3.347939,12.9,whatsapp_lead_trigger,2
6.424622,3.71177,15.36,whatsapp_lead_trigger,8
6.509868,3.480523,20.3,whatsapp_lead_trigger,1
6.471791,3.168126,7.73,meta_conversion_ad,5
6.63433,3.342534,4.47,meta_conversion_ad,2
6.707759,3.375655,20.39,meta_conversion_ad,2
6.76754,3.213065,2.86,meta_conversion_ad,4
6.639408,3.111757,25.28,meta_conversion_ad,1
6.9023,3.468535,13.75,meta_conversion_ad,2
6.438187,3.258505,2.62,whatsapp_lead_trigger,2
6.399219,3.566516,11.16,meta_awareness_ad,1
6.744802,3.380429,18.03,meta_awareness_ad,6
6.542825,3.30806,10.74,meta_awareness_ad,4
6.318009,3.01669,15.16,meta_conversion_ad,1
6.476991,3.562548,20.92,meta_awareness_ad,1
6.562749,3.423229,13.38,meta_awareness_ad,2
6.427463,3.311971,7.5,meta_conversion_ad,1
6.372201,3.245656,12.61,meta_awareness_ad,2
6.493256,3.619064,26.32,meta_conversion_ad,1
6.36472,3.219567,28.48,meta_awareness_ad,2
6.61967,3.323903,0.1,meta_awareness_ad,1
6.232829,3.464662,23.73,whatsapp_lead_trigger,1
6.537964,3.596815,17.0,meta_awareness_ad,3
6.602326,3.346752,22.39,meta_awareness_ad,2
6.510819,3.268977,10.6,meta_conversion_ad,8
6.688383,3.363189,0.85,meta_conversion_ad,5
6.318816,3.514871,19.68,meta_awareness_ad,1
6.419237,3.548609,7.47,meta_conversion_ad,1
6.474895,3.172926,3.89,meta_awareness_ad,4
6.631309,3.396441,4.45,meta_awareness_ad,5
6.557176,3.16406,19.81,meta_conversion_ad,4
6.845905,3.511833,16.12,meta_conversion_ad,1
6.403532,3.442558,21.26,meta_conversion_ad,13
6.315152,3.241022,20.35,meta_conversion_ad,1
6.792763,3.609322,11.63,whatsapp_lead_trigger,3
6.309771,3.429452,14.44,meta_conversion_ad,5
6.626859,3.412979,10.91,meta_awareness_ad,1
6.377599,3.352333,13.32,meta_conversion_ad,5
6.214002,3.377994,7.26,meta_awareness_ad,1
6.468182,3.321978,18.12,meta_awareness_ad,8
6.659325,3.268019,23.6,meta_awareness_ad,1
6.341134,3.56357,8.47,meta_awareness_ad,7
6.610814,3.305289,25.25,whatsapp_lead_trigger,1
6.63883,3.300239,15.91,whatsapp_lead_trigger,3
6.333646,3.359806,16.93,meta_conversion_ad,2
6.490236,3.592877,1.4,meta_awareness_ad,2
6.760961,3.548875,0.54,meta_awareness_ad,1
6.621989,3.319973,16.15,meta_awareness_ad,3
6.485176,3.563218,21.32,meta_awareness_ad,1
6.586694,3.395418,9.63,meta_conversion_ad,2
6.421611,3.252686,28.36,meta_conversion_ad,1
6.691454,3.307781,20.88,meta_conversion_ad,7
6.691389,3.585188,7.73,meta_awareness_ad,1
6.542536,3.691627,15.25,whatsapp_lead_trigger,1
6.559006,3.427173,34.82,meta_conversion_ad,1
6.37458,3.294219,5.06,meta_conversion_ad,2
6.321595,3.360462,19.23,meta_conversion_ad,1
6.467909,3.264833,12.42,meta_awareness_ad,2
6.51129,3.286685,20.66,meta_awareness_ad,5
6.683794,3.271943,25.14,meta_awareness_ad,3
6.662764,3.367298,11.91,meta_conversion_ad,2
6.552125,3.397302,23.95,meta_awareness_ad,1
6.702981,3.356976,32.77,meta_awareness_ad,3
6.382877,3.346002,15.53,meta_awareness_ad,1
6.686001,3.493274,21.28,meta_awareness_ad,4
6.405836,3.344819,10.28,whatsapp_lead_trigger,1
6.710354,3.354448,15.15,meta_conversion_ad,2
6.522398,3.352716,13.59,meta_awareness_ad,1
6.224657,3.610693,21.38,meta_awareness_ad,4
6.633924,3.305518,24.64,meta_awareness_ad,1
6.645832,3.468644,14.12,meta_awareness_ad,2
6.455913,3.266943,27.27,meta_awareness_ad,1
6.468711,3.431692,27.24,meta_awareness_ad,3
6.500468,3.461135,21.77,meta_awareness_ad,5
6.235627,3.541839,10.87,meta_conversion_ad,2
6.169691,3.32156,10.11,meta_conversion_ad,2
6.719644,3.212106,8.5,meta_awareness_ad,6
6.40079,3.261602,22.59,meta_awareness_ad,2
6.80269,3.523881,5.31,meta_conversion_ad,2
6.72996,3.691463,20.41,meta_conversion_ad,2
6.759479,3.504368,6.35,whatsapp_lead_trigger,3
6.426855,3.189879,21.59,meta_conversion_ad,1
6.28314,3.499298,15.14,meta_awareness_ad,4
6.361368,3.237631,25.67,meta_awareness_ad,2
6.457432,3.326829,24.13,meta_conversion_ad,1
6.168416,3.407285,26.48,meta_awareness_ad,4
6.453086,3.432505,26.69,meta_conversion_ad,1
6.494148,3.389016,16.15,whatsapp_lead_trigger,1
6.330237,3.289033,5.73,meta_conversion_ad,2
6.368327,3.538194,6.58,meta_awareness_ad,5
6.49131,3.300065,0.1,meta_conversion_ad,5
6.577843,3.567377,6.33,meta_awareness_ad,7
6.390777,3.175293,15.55,meta_conversion_ad,4
6.568238,3.41153,10.52,whatsapp_lead_trigger,1
6.544927,3.195277,13.56,meta_awareness_ad,1
6.531433,3.254088,18.94,whatsapp_lead_trigger,4
6.426598,3.302248,12.57,whatsapp_lead_trigger,1
6.324393,3.607291,6.03,meta_awareness_ad,2
6.778868,3.575404,14.57,meta_awareness_ad,2
6.618946,3.510337,7.81,meta_awareness_ad,1
6.67526,3.384193,12.83,meta_awareness_ad,5
6.511856,3.407409,25.74,meta_awareness_ad,2
6.499796,3.569172,12.84,meta_conversion_ad,2
6.597999,3.484396,29.17,meta_awareness_ad,12
6.249197,3.381901,26.45,meta_awareness_ad,2
6.357203,3.602201,10.37,whatsapp_lead_trigger,1
6.404734,3.501379,6.11,meta_awareness_ad,2
6.456215,3.415563,14.58,whatsapp_lead_trigger,4
6.392446,3.310353,24.23,meta_awareness_ad,3
6.574321,3.296814,11.08,meta_awareness_ad,4
6.536617,3.328774,22.26,meta_conversion_ad,3
6.73333,3.447749,24.67,meta_conversion_ad,1
6.895464,3.504567,8.81,whatsapp_lead_trigger,4
6.334972,3.162556,9.59,meta_conversion_ad,5
6.546496,3.08721,20.7,whatsapp_lead_trigger,1
6.546229,3.236477,16.21,meta_awareness_ad,1
6.52227,3.318049,9.51,meta_awareness_ad,8
6.361676,3.558592,12.18,meta_conversion_ad,4
6.38682,3.337137,14.44,whatsapp_lead_trigger,5
6.560461,3.417416,2.48,whatsapp_lead_trigger,5
6.382597,3.441886,21.13,meta_awareness_ad,2
6.548291,3.225664,11.17,meta_awareness_ad,3
6.487508,3.598183,0.1,meta_conversion_ad,2
6.545649,3.279479,14.81,meta_awareness_ad,1
6.381405,3.613169,9.07,whatsapp_lead_trigger,3
6.54802,3.360274,28.51,whatsapp_lead_trigger,2
6.392257,3.328575,10.32,meta_awareness_ad,3
6.548504,3.212582,6.22,meta_conversion_ad,2
6.725309,3.408793,19.06,meta_conversion_ad,2
6.563548,3.717357,9.72,meta_awareness_ad,1
6.572681,3.441238,8.76,whatsapp_lead_trigger,1
6.646981,3.419766,19.08,meta_conversion_ad,1
6.313866,3.279209,6.68,whatsapp_lead_trigger,1
6.782238,3.467998,3.34,meta_awareness_ad,8
6.366062,3.402843,28.81,whatsapp_lead_trigger,1
6.656349,3.369775,19.64,meta_awareness_ad,1
6.636436,3.453419,12.89,meta_awareness_ad,2
6.389075,3.106823,14.97,whatsapp_lead_trigger,2
6.675733,3.364121,19.05,meta_awareness_ad,1
6.599072,3.199646,22.79,meta_awareness_ad,4
6.807897,3.383535,8.95,whatsapp_lead_trigger,4
6.553407,3.27057,17.93,whatsapp_lead_trigger,1
6.508119,3.280824,10.95,meta_conversion_ad,1
6.447186,3.179184,13.49,meta_conversion_ad,6
6.262897,3.54655,16.29,meta_awareness_ad,4
6.476666,3.277538,14.95,meta_awareness_ad,3
6.483015,3.285564,20.88,meta_awareness_ad,1
6.563709,3.608792,18.9,meta_conversion_ad,2
6.310935,3.464394,2.93,meta_conversion_ad,2
6.488548,3.074004,4.14,meta_conversion_ad,1
6.610838,3.587004,12.04,meta_conversion_ad,2
6.625726,3.626384,29.63,meta_awareness_ad,2
6.245428,3.612356,8.19,meta_awareness_ad,1
6.630361,3.479428,13.33,meta_awareness_ad,3
6.487414,3.213944,10.71,meta_conversion_ad,4
6.496648,3.371816,10.57,meta_awareness_ad,1
6.169723,3.161933,16.43,whatsapp_lead_trigger,4
6.748436,3.249298,26.21,meta_awareness_ad,1
6.55092,3.212567,18.65,meta_awareness_ad,4
6.294681,3.285145,8.57,meta_awareness_ad,1
6.58068,3.403793,37.03,meta_conversion_ad,1
6.576072,3.312463,15.63,meta_conversion_ad,3
6.707782,3.306021,10.38,meta_awareness_ad,2
6.477947,3.335566,26.3,meta_awareness_ad,5
6.526199,3.604121,11.25,meta_conversion_ad,1
6.427979,3.703763,28.3,meta_awareness_ad,1
6.614092,3.311596,8.03,whatsapp_lead_trigger,2
6.406876,3.429611,26.44,meta_conversion_ad,2
6.390451,3.253008,16.61,meta_awareness_ad,1
6.51423,3.494348,25.33,meta_awareness_ad,3
6.34052,3.307732,30.21,whatsapp_lead_trigger,3
6.76472,3.272534,5.94,meta_awareness_ad,4
6.81349,3.679438,25.21,meta_awareness_ad,8
6.456361,3.17579,3.73,whatsapp_lead_trigger,1
6.316411,3.011276,6.62,whatsapp_lead_trigger,3
6.574889,3.489425,8.57,whatsapp_lead_trigger,1
6.452085,3.324056,19.03,meta_conversion_ad,3
6.700602,3.282301,15.26,meta_awareness_ad,2
6.406328,3.788949,13.66,meta_awareness_ad,10
6.606077,3.488734,16.17,meta_conversion_ad,3
6.541499,3.370423,19.73,meta_conversion_ad,6
6.422961,3.27301,20.35,meta_awareness_ad,4
6.560407,3.446068,23.75,whatsapp_lead_trigger,5
6.65618,3.119272,29.56,meta_awareness_ad,4
6.537427,3.301785,14.83,meta_awareness_ad,2
6.538993,3.373635,10.83,meta_awareness_ad,1
6.393482,3.411224,19.91,meta_awareness_ad,1
6.696031,3.357835,5.85,meta_awareness_ad,1
6.681082,3.275218,9.57,meta_awareness_ad,2
6.462816,3.517299,23.0,meta_awareness_ad,2
6.505757,3.131452,14.01,meta_conversion_ad,2
6.736533,3.337511,5.33,meta_conversion_ad,8
6.354364,3.30151,3.08,meta_conversion_ad,5
6.615043,3.530976,15.39,whatsapp_lead_trigger,1
6.440608,3.310368,24.14,meta_awareness_ad,1
6.791112,3.44485,24.03,meta_awareness_ad,2
6.533917,3.429157,15.89,whatsapp_lead_trigger,1
6.713457,3.103932,31.07,meta_awareness_ad,4
6.410201,3.369353,14.16,whatsapp_lead_trigger,2
6.337121,3.11779,13.89,meta_awareness_ad,2
6.489261,3.431893,0.1,whatsapp_lead_trigger,4
6.563803,3.269652,11.42,meta_awareness_ad,4
6.44779,3.5572,21.82,whatsapp_lead_trigger,1
6.638146,3.352085,27.51,meta_conversion_ad,3
6.492907,3.263692,8.36,whatsapp_lead_trigger,2
6.212184,3.559179,18.7,meta_awareness_ad,1
6.607322,3.248416,23.38,meta_conversion_ad,1
6.392019,3.513404,15.09,whatsapp_lead_trigger,2
6.47016,3.449329,0.1,meta_conversion_ad,1
6.75737,3.324385,16.98,meta_conversion_ad,1
6.790322,3.178803,21.09,meta_conversion_ad,3
6.438076,3.565449,7.42,meta_awareness_ad,3
6.611068,3.45427,12.97,meta_conversion_ad,1
6.441559,3.263408,5.76,meta_conversion_ad,1
6.481369,3.415891,0.1,whatsapp_lead_trigger,4
6.433534,3.530124,23.22,meta_awareness_ad,1
6.265748,3.396003,14.97,meta_awareness_ad,6
6.538658,3.41496,27.78,whatsapp_lead_trigger,2
6.567625,3.534001,21.86,whatsapp_lead_trigger,1
6.42375,3.609789,12.17,meta_awareness_ad,1
6.687569,3.36126,14.33,meta_conversion_ad,1
6.458988,3.178584,19.53,meta_awareness_ad,1
6.428818,3.183814,22.74,meta_awareness_ad,1
6.603375,3.275551,17.58,meta_awareness_ad,2
6.292998,3.238966,23.84,meta_awareness_ad,1
6.660402,3.12683,12.63,meta_conversion_ad,2
6.464075,3.656374,7.02,meta_awareness_ad,2
6.672793,3.458415,14.48,whatsapp_lead_trigger,1
6.71762,3.30063,16.64,whatsapp_lead_trigger,1
6.620423,3.374322,5.39,meta_conversion_ad,1
6.402604,3.11124,4.31,meta_conversion_ad,1
6.336775,3.552798,18.58,meta_awareness_ad,3
6.309289,3.086758,11.75,whatsapp_lead_trigger,1
6.689837,3.455704,13.67,meta_conversion_ad,4
6.50418,3.103437,12.12,meta_awareness_ad,2
6.434517,3.317099,27.16,whatsapp_lead_trigger,2
6.504588,3.565603,25.09,whatsapp_lead_trigger,2
6.686493,3.134107,5.1,whatsapp_lead_trigger,3
6.641211,3.356894,10.74,meta_conversion_ad,1
6.590176,3.473366,21.8,meta_conversion_ad,1
6.620083,3.448825,19.82,meta_awareness_ad,2
6.551426,3.389728,14.67,whatsapp_lead_trigger,1
6.569717,3.453565,5.9,whatsapp_lead_trigger,2
6.557554,3.287576,9.54,meta_awareness_ad,3
6.524391,3.669119,10.87,meta_awareness_ad,2
6.637406,3.137607,17.22,meta_awareness_ad,2
6.578592,3.553511,28.63,whatsapp_lead_trigger,2
6.392293,3.407624,9.5,whatsapp_lead_trigger,3
6.603731,3.471766,6.79,meta_awareness_ad,3
6.561487,3.498382,14.13,meta_conversion_ad,2
6.616112,3.462544,23.25,meta_awareness_ad,3
6.508769,3.257547,3.42,whatsapp_lead_trigger,5
